workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
mpsc-cap1,1000000,1,go,ok,10,10,10781931.459975502,10702069.225821087,10927714.197786774,0.7913041639111859,10717083.715191957,10923402.990017222,92.7477645,0.09495,10531861.793577727,,,,,2560.0,
mpsc-cap1,1000000,1,tokio-tuned-tokio-channels,ok,10,10,9255792.75,8893249.0,9284634.2,1.3518970766370197,9086525.3,9275958.9,108.0404495,0.11044999999999999,9053872.385074431,,,,,7096.0,
mpsc-cap1,1000000,1,tokio-tuned,ok,10,10,32996827.4,32601926.5,33440694.7,0.8919454267562127,32778990.3,33377401.5,30.305978,0.03275,30534422.316700235,,,,,7232.0,
mpsc-cap1,1000000,2,tokio,ok,10,10,5124857.5,5017506.8,5170176.0,1.0251044261201996,5023143.1,5159700.5,195.12738,0.31965,3128423.6248686826,,,,,2944.0,
mpsc-cap1,1000000,2,crossbeam,ok,10,10,6266411.85,5427590.7,6974814.6,8.131363474943553,5705681.1,6732111.6,159.59604,0.31625000000000003,3162201.488179516,,,,,2304.0,
mpsc-cap1,1000000,2,go,ok,10,10,11456349.750346728,11312983.380446818,11527744.150387445,0.5168995605388778,11398865.723949315,11481326.87903654,87.287852,0.09445,10587615.460496817,,,,,2624.0,
mpsc-cap1,1000000,2,tokio-tuned-tokio-channels,ok,10,10,5009765.85,4920440.4,5022973.2,0.7290569304031347,4947695.1,5016501.4,199.610137,0.32525000000000004,3074558.1049416396,,,,,7092.0,
mpsc-cap1,1000000,2,tokio-tuned,ok,10,10,27820480.05,25829119.9,29044683.5,3.5888204329572244,26507370.1,29040687.1,35.9448395,0.0608,16448480.81506551,,,,,7166.0,
mpsc-cap1,1000000,6,tokio,ok,10,10,5362041.25,5121216.7,5420593.1,1.667440828721288,5274016.7,5413483.4,186.497728,0.30135,3318433.5099787554,,,,,2944.0,
mpsc-cap1,1000000,6,crossbeam,ok,10,10,5935593.2,5640487.9,6069360.1,3.0045397039115582,5640505.5,6066684.8,168.488576,0.82955,1205594.9955374603,,,,,2304.0,
